Algorithm,Metric,Value,Time (s)
Decision Tree,Accuracy,0.9984432828597436,207.0164670944214
Neural Network,Accuracy,0.8275211575758076,133.05690813064575
Naive Bayes,Accuracy,0.14034005202402666,13.830623865127563
